case_id,writer_model,reader_model,embedding_model,seed,A_trial_id,B_trial_id,C_trial_id,writer_output_equal_ABC,memory_semantics_equal_ABC,memory_vectors_equal_ABC,query_equal_ABC,retrieval_equal_ABC,retrieval_vectors_equal_ABC,B_C_prompt_parse_ok,B_C_user_payload_equal_after_identifier_normalization,B_C_system_equal,B_has_d2_instruction,C_has_d2_instruction,A_provenance_records,B_provenance_records,C_provenance_records
FIE-01,gemma3:12b,gemma3:12b,embeddinggemma:latest,42,d66b448e-9c4f-4f8c-986b-6bc749335b78,7e84384e-b1eb-44a4-8cf0-46087dea262e,5db3eadf-0fd6-4577-9c90-227088f23163,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-01,gemma3:12b,llama3.1:latest,embeddinggemma:latest,42,a5ae2a11-e07e-4100-aab0-fb21b80ba8ce,a9fea23f-ba1a-4f5a-9749-0c5dc09357d3,f42b700b-1c0c-4060-9e1f-76c8ca2914d9,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-01,gemma3:12b,mistral:7b,embeddinggemma:latest,42,2d15dcb2-6cba-4f5e-8473-73853edfb61f,def7bd25-5393-4afa-919a-94c1dac7d004,180222bd-faa9-4984-8d0f-0e99d1c8392b,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-01,gemma3:12b,qwen3:8b,embeddinggemma:latest,42,44e2468d-a6fd-4093-843b-b4cca0ce525a,70cee302-68a9-4b6d-ad1a-acdfb5bc0e24,49cee2b0-b2c7-4d6c-abf5-4e82c1ad23bd,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-01,llama3.1:latest,gemma3:12b,embeddinggemma:latest,42,61627531-f374-4ec0-84a9-f51ab83b1766,cea4d578-9c8b-4a49-83fa-f10e7ea9808c,7f557927-95a8-416a-a716-fb0b1e4608de,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-01,llama3.1:latest,llama3.1:latest,embeddinggemma:latest,42,d294435b-7faf-4424-ac4c-30891675b990,1734a32f-bdb6-4e77-b734-b4ac668acb51,a4352b3b-ee2c-40a6-8627-c4a417cd3fd6,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-01,llama3.1:latest,mistral:7b,embeddinggemma:latest,42,6018f0b8-64fd-4041-888c-f2b7b0395bb6,0f74ecd0-2b49-4a66-9c40-147f29880c47,969a4edf-801d-4a3b-a8e1-8b4bf9c4c450,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-01,llama3.1:latest,qwen3:8b,embeddinggemma:latest,42,451e2f50-ec1b-47fa-ae51-4ca69e5a9d7f,1efe40ce-4057-4f55-bc63-11e4597b531f,6add3fb9-fe8b-4aa3-9123-d29b99edf264,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-01,mistral:7b,gemma3:12b,embeddinggemma:latest,42,de4892f7-323f-4197-9cb2-1c995139339c,c943a70e-ab7d-4288-b91f-21f16370134e,52239f4a-be03-4962-8429-a5e338ff57a3,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-01,mistral:7b,llama3.1:latest,embeddinggemma:latest,42,b07465a2-7af2-49d3-b130-8873cb66bbce,0be7df6d-9db0-4301-b2a4-343a7e207f76,adf4a5e4-1795-4861-930b-7233a3707d31,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-01,mistral:7b,mistral:7b,embeddinggemma:latest,42,76c677c1-2feb-4d3d-b86e-ec1a3c2eee4d,ed25ee1d-2cd4-41d4-aa64-fd616f46e990,80f3d7a9-7a78-4782-921c-8f67e29937ae,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-01,mistral:7b,qwen3:8b,embeddinggemma:latest,42,ce71e025-41fd-4b2b-bede-04355891ec09,89edd20a-70bc-4a0a-be47-a44be0b43748,25411975-43ac-465e-9cf8-6ea9df6b192b,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-01,qwen3:8b,gemma3:12b,embeddinggemma:latest,42,e04dc172-13d6-472a-85db-f438774a5a2c,d7bc08fd-76e2-4860-90dd-90853f438eeb,c87f7127-ddb2-4e2c-9c28-b2332418391e,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-01,qwen3:8b,llama3.1:latest,embeddinggemma:latest,42,305e870a-bd16-473c-857d-a86fb3dbd331,9ca4263d-640a-4251-aa70-833256991ff8,dd1f4fbd-fe8a-42f1-a1b4-557271e13d93,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-01,qwen3:8b,mistral:7b,embeddinggemma:latest,42,47858268-db2e-409c-99f6-a570c0daecaf,07fb1816-e799-4c72-ac65-c9f2950a61de,5f8c0083-3305-48f3-bdcf-1066b1c42b83,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-01,qwen3:8b,qwen3:8b,embeddinggemma:latest,42,dc6ab8d0-d949-47f3-a96c-f0f56b9eb0b2,d7b864f7-8c04-4d27-9813-8673d6423143,99080a8d-60d7-40fa-a013-bda69c0175d5,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-02,gemma3:12b,gemma3:12b,embeddinggemma:latest,42,f5131718-6524-4720-b306-9a21982fff13,f6fb587e-15d9-4191-b5f4-a0a652402b87,cc93f4c3-f077-41ba-9b7a-16dc6539f84a,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-02,gemma3:12b,llama3.1:latest,embeddinggemma:latest,42,014c685e-b0f8-4fd1-9e66-dd531c807cf6,02c93592-f2a7-46b9-a4e7-7acfc03a9e93,c701441c-0ee8-4c78-acb8-63fc44d51f6c,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-02,gemma3:12b,mistral:7b,embeddinggemma:latest,42,59f2577a-e01c-4ab3-bfdd-4df492a50a70,efa6d35b-decf-434e-97c7-17f0215872ba,3cb2b6ac-299a-4b5d-b0f3-2b873b65a64f,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-02,gemma3:12b,qwen3:8b,embeddinggemma:latest,42,8c513bf3-b3eb-4f28-a7d4-eeb5ea96c83b,71704bef-8c76-40e3-bdbc-7d05b2ac3cd5,28fbb51d-c027-4fc0-b1fa-863440ab849b,True,True,True,True,True,True,True,True,False,False,True,0,5,5
FIE-02,llama3.1:latest,gemma3:12b,embeddinggemma:latest,42,0b85a1a8-28e7-4179-922c-bb0e96f35309,bcb7f5d9-9f44-43a2-88da-4a613cf475a9,75e77ddd-2ece-4be3-bde2-7cf150456b9f,True,True,True,True,True,True,True,True,False,False,True,0,5,5
